ranking,国家/州名,累计确诊,粗发病率,累计检测,累计阳性率%,日新增检测,新增中阳性率%,检测率*
,美国 US,1662302,502,14603530,11,441248,4,4412
1,纽约州 NY,362764,1865,1739449,21,39623,3,8942
2,新泽西州 NJ,155092,1746,623797,25,19990,5,7023
3,伊利诺伊州 IL,112017,884,769564,15,21643,8,6073
4,加利福尼亚州 CA,96400,244,1644102,6,61357,3,4161
5,马萨诸塞州 MA,93271,1342,540561,17,8188,7.000000000000001,7778
6,宾夕法尼亚州 PA,71925,562,403114,18,7019,7.000000000000001,3149
7,得克萨斯州 TX,56409,195,805654,7.000000000000001,42109,1,2779
8,密歇根州 MI,54881,550,472860,12,21628,1,4735
9,佛罗里达州 FL,51746,241,908235,6,37000,2,4229
10,马里兰州 MD,47152,780,249577,19,9215,9,4128
