States,Abbr
Alaska,AK
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
District of Columbia,D.C.
Florida,FL
Georgia,GA
Hawaii,HI
Idaho,ID
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Kentucky,KY
Louisiana,LA
Maine,ME
Maryland,MD
Massachusetts,MA
Michigan,MI
Minnesota,MN
Mississippi,MS
Missouri,MO
Montana,MT
Nebraska,NE
Nevada,NV
New Hampshire,NH
New Jersey,NJ
New Mexico,NM
New York,NY
North Carolina,NC
North Dakota,ND
Ohio,OH
Oklahoma,OK
Oregon,OR
Pennsylvania,PA
Rhode Island,RI
South Carolina,SC
South Dakota,SD
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Virginia,VA
Washington,WA
West Virginia,WV
Wisconsin,WI
Wyoming,WY
Alaska,Alaska
Arizona,Arizona
Arkansas,Arkansas
California,California
Colorado,Colorado
Connecticut,Connecticut
Delaware,Delaware
District of Columbia,District of Columbia
Florida,Florida
Georgia,Georgia
Hawaii,Hawaii
Idaho,Idaho
Illinois,Illinois
Indiana,Indiana
Iowa,Iowa
Kansas,Kansas
Kentucky,Kentucky
Louisiana,Louisiana
Maine,Maine
Maryland,Maryland
Massachusetts,Massachusetts
Michigan,Michigan
Minnesota,Minnesota
Mississippi,Mississippi
Missouri,Missouri
Montana,Montana
Nebraska,Nebraska
Nevada,Nevada
New Hampshire,New Hampshire
New Jersey,New Jersey
New Mexico,New Mexico
New York,New York
North Carolina,North Carolina
North Dakota,North Dakota
Ohio,Ohio
Oklahoma,Oklahoma
Oregon,Oregon
Pennsylvania,Pennsylvania
Rhode Island,Rhode Island
South Carolina,South Carolina
South Dakota,South Dakota
Tennessee,Tennessee
Texas,Texas
Utah,Utah
Vermont,Vermont
Virginia,Virginia
Washington,Washington
West Virginia,West Virginia
Wisconsin,Wisconsin
Wyoming,Wyoming
Grand Princess,Grand Princess
Diamond Princess,Diamond Princess
