State,State_bi,State_Full,State_cn,Population
AL,Alabama - 阿拉巴马,Alabama,阿拉巴马,4903185
AK,Alaska - 阿拉斯加,Alaska,阿拉斯加,731545
AZ,Arizona - 亚利桑那,Arizona,亚利桑那,7278717
AR,Arkansas - 阿肯色,Arkansas,阿肯色,3017825
CA,California - 加利福尼亚,California,加利福尼亚,39512223
CO,Colorado - 科罗拉多,Colorado,科罗拉多,5758736
CT,Connecticut - 康涅狄格,Connecticut,康涅狄格,3565287
DE,Delaware - 特拉华,Delaware,特拉华,973764
DC,District of Columbia - 哥伦比亚特区,District of Columbia,哥伦比亚特区,705749
FL,Florida - 佛罗里达,Florida,佛罗里达,21477737
GA,Georgia - 乔治亚,Georgia,乔治亚,10617423
HI,Hawaii - 夏威夷,Hawaii,夏威夷,1415872
ID,Idaho - 爱达荷,Idaho,爱达荷,1787147
IL,Illinois - 伊利诺伊,Illinois,伊利诺伊,12671821
IN,Indiana - 印第安纳,Indiana,印第安纳,6732219
IA,Iowa - 爱荷华,Iowa,爱荷华,3155070
KS,Kansas - 堪萨斯,Kansas,堪萨斯,2913314
KY,Kentucky - 肯塔基,Kentucky,肯塔基,4467673
LA,Louisiana - NA,Louisiana,NA,4648794
ME,Maine - 缅因,Maine,缅因,1344212
MD,Maryland - 马里兰,Maryland,马里兰,6045680
MA,Massachusetts - 马萨诸塞,Massachusetts,马萨诸塞,6949503
MI,Michigan - 密歇根,Michigan,密歇根,9986857
MN,Minnesota - 明尼苏达,Minnesota,明尼苏达,5639632
MS,Mississippi - 密西西比,Mississippi,密西西比,2976149
MO,Missouri - 密苏里,Missouri,密苏里,6137428
MT,Montana - 蒙大拿,Montana,蒙大拿,1068778
NE,Nebraska - 内布拉斯加,Nebraska,内布拉斯加,1934408
NV,Nevada - 内华达,Nevada,内华达,3080156
NH,New Hampshire - 新罕布什尔,New Hampshire,新罕布什尔,1359711
NJ,New Jersey - 新泽西,New Jersey,新泽西,8882190
NM,New Mexico - 新墨西哥,New Mexico,新墨西哥,2096829
NY,New York - 纽约,New York,纽约,19453561
NC,North Carolina - 北卡罗莱纳,North Carolina,北卡罗莱纳,10488084
ND,North Dakota - 北达科他,North Dakota,北达科他,762062
OH,Ohio - 俄亥俄,Ohio,俄亥俄,11689100
OK,Oklahoma - 俄克拉何马,Oklahoma,俄克拉何马,3956971
OR,Oregon - 俄勒冈,Oregon,俄勒冈,4217737
PA,Pennsylvania - 宾夕法尼亚,Pennsylvania,宾夕法尼亚,12801989
RI,Rhode Island - 罗得岛,Rhode Island,罗得岛,1059361
SC,South Carolina - 南卡罗来纳,South Carolina,南卡罗来纳,5148714
SD,South Dakota - 南达科他,South Dakota,南达科他,884659
TN,Tennessee - 田纳西,Tennessee,田纳西,6833174
TX,Texas - 得克萨斯,Texas,得克萨斯,28995881
UT,Utah - 犹他,Utah,犹他,3205958
VT,Vermont - 佛蒙特,Vermont,佛蒙特,623989
VA,Virginia - 弗吉尼亚,Virginia,弗吉尼亚,8535519
WA,Washington - 华盛顿州,Washington,华盛顿州,7614893
WV,West Virginia - 西弗吉尼亚,West Virginia,西弗吉尼亚,1792065
WI,Wisconsin - 威斯康星,Wisconsin,威斯康星,5822434
WY,Wyoming - 怀俄明,Wyoming,怀俄明,578759
PR,Puerto Rico - 波多黎各,Puerto Rico,波多黎各,3193694
VI,U.S. Virgin Islands - 美属维京群岛,U.S. Virgin Islands,美属维京群岛,104914
AS,American Samoa - 美属萨摩亚,American Samoa,美属萨摩亚,55641
GU,Guam - 关岛,Guam,关岛,165718
MP,Northern Mariana Islands - 北马里亚纳群岛,Northern Mariana Islands,北马里亚纳群岛,55194
