State_Full, State_cn

Alabama,阿拉巴马

Alaska,阿拉斯加

Arizona,亚利桑那

Arkansas,阿肯色

California, 加利福尼亚

Colorado, 科罗拉多

Connecticut, 康涅狄格

Delaware, 特拉华

District of Columbia, 哥伦比亚特区

Florida, 佛罗里达

Georgia, 乔治亚

Hawaii, 夏威夷

Idaho, 爱达荷

Illinois, 伊利诺伊

Indiana, 印第安纳

Iowa, 爱荷华

Kansas, 堪萨斯

Kentucky, 肯塔基

Lousiana, 路易斯安那

Maine, 缅因

Maryland, 马里兰

Massachusetts, 马萨诸塞

Michigan, 密歇根

Minnesota, 明尼苏达

Mississippi, 密西西比

Missouri, 密苏里

Montana, 蒙大拿

Nebraska, 内布拉斯加

Nevada, 内华达

New Hampshire, 新罕布什尔

New Jersey, 新泽西

New Mexico, 新墨西哥

New York, 纽约

North Carolina, 北卡罗莱纳

North Dakota, 北达科他

Ohio, 俄亥俄

Oklahoma, 俄克拉何马

Oregon, 俄勒冈

Pennsylvania, 宾夕法尼亚

Rhode Island, 罗得岛

South Carolina, 南卡罗来纳

South Dakota, 南达科他

Tennessee, 田纳西

Texas, 得克萨斯

Utah, 犹他

Vermont, 佛蒙特

Virginia, 弗吉尼亚

Washington, 华盛顿州

West Virginia, 西弗吉尼亚

Wisconsin, 威斯康星

Wyoming, 怀俄明

Guam, 关岛

U.S. Virgin Islands, 美属维京群岛

American Samoa, 美属萨摩亚

Northern Mariana Islands, 北马里亚纳群岛

Puerto Rico, 波多黎各
