State_Full, State_cn, State_abb

Alabama,阿拉巴马州, AL

Alaska,阿拉斯加州, AK

Arizona,亚利桑那州, AZ

Arkansas,阿肯色州, AR

California, 加利福尼亚州, CA

Colorado, 科罗拉多州, CO

Connecticut, 康涅狄格州, CT

Delaware, 特拉华州 ,DE

District of Columbia, 哥伦比亚特区, DC

Florida, 佛罗里达州, FL

Georgia, 乔治亚州, GA

Hawaii, 夏威夷州, HI

Idaho, 爱达荷州, ID

Illinois, 伊利诺伊州, IL

Indiana, 印第安纳州, IN

Iowa, 爱荷华州, IA

Kansas, 堪萨斯州, KS

Kentucky, 肯塔基州, KY

Louisiana, 路易斯安那州, LA

Maine, 缅因州, ME

Maryland, 马里兰州, MD

Massachusetts, 马萨诸塞州, MA

Michigan, 密歇根州, MI

Minnesota, 明尼苏达州, MN

Mississippi, 密西西比州, MS

Missouri, 密苏里州, MO

Montana, 蒙大拿州, MT

Nebraska, 内布拉斯加州, NE

Nevada, 内华达州, NV

New Hampshire, 新罕布什尔州, NH

New Jersey, 新泽西州, NJ

New Mexico, 新墨西哥州, NM

New York, 纽约州, NY

North Carolina, 北卡罗莱纳州, NC

North Dakota, 北达科他州, ND

Ohio, 俄亥俄州, OH

Oklahoma, 俄克拉何马州, OK

Oregon, 俄勒冈州, OR

Pennsylvania, 宾夕法尼亚州, PA

Rhode Island, 罗得岛, RI

South Carolina, 南卡罗来纳州, SC

South Dakota, 南达科他州, SD

Tennessee, 田纳西州, TN

Texas, 得克萨斯州, TX

Utah, 犹他州, UT

Vermont, 佛蒙特州, VT

Virginia, 弗吉尼亚州, VA

Washington, 华盛顿州, WA

West Virginia, 西弗吉尼亚州, WV

Wisconsin, 威斯康星州, WI

Wyoming, 怀俄明州, WY

Guam, 关岛, GU

Virgin Islands, 美属维京群岛, VI

American Samoa, 美属萨摩亚, AS

Northern Mariana Islands, 北马里亚纳群岛, MP

Puerto Rico, 波多黎各, PR

Grand Princess, 大公主号游轮, GP

Diamond Princess, 钻石公主号游轮, DP

US, 美国, US
